Date,Order ID,Item Name,Category,Quantity,Item Price,Discount,GST,Delivery Charges,Customer Paid Amount,Net Sales,Payment Method,Order Status
2025-11-03,SWG101229,Paneer Butter Masala,Main Course,1,240.00,36.00,10.20,0.00,214.20,204.00,Cash,Delivered
2025-11-03,SWG101230,Gulab Jamun,Desserts,1,90.00,4.50,4.28,0.00,89.78,85.50,Debit Card,Delivered
2025-11-03,SWG101231,Veg Biryani,Biryani,1,180.00,9.00,8.55,0.00,179.55,171.00,Debit Card,Delivered
2025-11-03,SWG101232,Veg Biryani,Biryani,1,180.00,18.00,8.10,20.00,190.10,162.00,Cash,Delivered
2025-11-03,SWG101233,Chicken Tikka,Starters,1,260.00,39.00,11.05,20.00,252.05,221.00,Cash,Delivered
2025-11-03,SWG101234,Paneer Butter Masala,Main Course,2,480.00,72.00,20.40,20.00,448.40,408.00,Credit Card,Delivered
2025-11-03,SWG101235,Paneer Butter Masala,Main Course,1,240.00,0.00,12.00,20.00,272.00,240.00,Credit Card,Delivered
2025-11-03,SWG101236,Hakka Noodles,Rice & Noodles,1,180.00,18.00,8.10,20.00,190.10,162.00,UPI,Delivered
2025-11-04,SWG101237,Hakka Noodles,Rice & Noodles,1,180.00,27.00,7.65,0.00,160.65,153.00,UPI,Delivered
2025-11-04,SWG101238,Chicken Tikka,Starters,1,260.00,39.00,11.05,30.00,262.05,221.00,Cash,Delivered
2025-11-04,SWG101239,Fried Rice,Rice & Noodles,1,170.00,0.00,8.50,20.00,198.50,170.00,Cash,Delivered
2025-11-04,SWG101240,Hakka Noodles,Rice & Noodles,1,180.00,0.00,9.00,40.00,229.00,180.00,UPI,Delivered
2025-11-04,SWG101241,Gulab Jamun,Desserts,2,180.00,9.00,8.55,40.00,219.55,171.00,Credit Card,Delivered
2025-11-04,SWG101242,Veg Biryani,Biryani,1,180.00,18.00,8.10,0.00,170.10,162.00,UPI,Delivered
2025-11-04,SWG101243,Chicken Biryani,Biryani,1,220.00,0.00,11.00,30.00,261.00,220.00,Credit Card,Delivered
2025-11-04,SWG101244,Paneer Butter Masala,Main Course,1,240.00,24.00,10.80,0.00,226.80,216.00,Credit Card,Delivered
2025-11-04,SWG101245,Paneer Butter Masala,Main Course,2,480.00,72.00,20.40,0.00,428.40,408.00,UPI,Delivered
2025-11-04,SWG101246,Paneer Butter Masala,Main Course,3,720.00,0.00,36.00,40.00,796.00,720.00,UPI,Delivered
2025-11-04,SWG101247,Butter Naan,Breads,1,60.00,9.00,2.55,0.00,53.55,51.00,Cash,Delivered
2025-11-04,SWG101248,Paneer Butter Masala,Main Course,1,240.00,0.00,12.00,0.00,252.00,240.00,Cash,Delivered
2025-11-04,SWG101249,Paneer Tikka,Starters,1,230.00,34.50,9.78,20.00,225.28,195.50,UPI,Delivered
2025-11-04,SWG101250,Fried Rice,Rice & Noodles,1,170.00,25.50,7.23,0.00,151.73,144.50,UPI,Delivered
2025-11-04,SWG101251,Fried Rice,Rice & Noodles,1,170.00,8.50,8.08,0.00,169.58,161.50,UPI,Delivered
2025-11-04,SWG101252,Gulab Jamun,Desserts,2,180.00,9.00,8.55,20.00,199.55,171.00,Debit Card,Delivered
2025-11-04,SWG101253,Chicken Tikka,Starters,1,260.00,39.00,11.05,20.00,252.05,221.00,UPI,Delivered
2025-11-04,SWG101254,Chicken Biryani,Biryani,1,220.00,33.00,9.35,30.00,226.35,187.00,Credit Card,Delivered
2025-11-04,SWG101255,Butter Naan,Breads,1,60.00,6.00,2.70,30.00,86.70,54.00,UPI,Delivered
2025-11-04,SWG101256,Hakka Noodles,Rice & Noodles,1,180.00,9.00,8.55,0.00,179.55,171.00,UPI,Delivered
2025-11-04,SWG101257,Paneer Tikka,Starters,1,230.00,11.50,10.93,20.00,249.43,218.50,Debit Card,Delivered
2025-11-04,SWG101258,Veg Biryani,Biryani,1,180.00,27.00,7.65,30.00,190.65,153.00,Debit Card,Delivered
2025-11-04,SWG101259,Gulab Jamun,Desserts,1,90.00,9.00,4.05,20.00,105.05,81.00,UPI,Delivered
2025-11-04,SWG101260,Fried Rice,Rice & Noodles,1,170.00,0.00,8.50,20.00,198.50,170.00,Cash,Delivered
2025-11-05,SWG101261,Gulab Jamun,Desserts,1,90.00,13.50,3.83,30.00,110.33,76.50,Cash,Delivered
2025-11-05,SWG101262,Veg Biryani,Biryani,1,180.00,0.00,9.00,30.00,219.00,180.00,Debit Card,Delivered
2025-11-05,SWG101263,Chicken Biryani,Biryani,1,220.00,11.00,10.45,30.00,249.45,209.00,Debit Card,Delivered
2025-11-05,SWG101264,Chicken Biryani,Biryani,3,660.00,33.00,31.35,20.00,678.35,627.00,Credit Card,Delivered
2025-11-05,SWG101265,Masala Dosa,South Indian,1,140.00,14.00,6.30,20.00,152.30,126.00,UPI,Delivered
2025-11-05,SWG101266,Butter Naan,Breads,2,120.00,0.00,6.00,0.00,126.00,120.00,Credit Card,Delivered
2025-11-05,SWG101267,Paneer Tikka,Starters,1,230.00,0.00,11.50,30.00,271.50,230.00,Debit Card,Delivered
2025-11-05,SWG101268,Fried Rice,Rice & Noodles,1,170.00,17.00,7.65,20.00,180.65,153.00,Cash,Delivered
2025-11-05,SWG101269,Paneer Butter Masala,Main Course,1,240.00,12.00,11.40,20.00,259.40,228.00,Cash,Delivered
2025-11-05,SWG101270,Chicken Tikka,Starters,1,260.00,39.00,11.05,20.00,252.05,221.00,Credit Card,Delivered
2025-11-05,SWG101271,Hakka Noodles,Rice & Noodles,1,180.00,9.00,8.55,30.00,209.55,171.00,Debit Card,Delivered
2025-11-05,SWG101272,Butter Naan,Breads,2,120.00,18.00,5.10,20.00,127.10,102.00,Cash,Delivered
2025-11-05,SWG101273,Gulab Jamun,Desserts,1,90.00,13.50,3.83,30.00,110.33,76.50,Cash,Delivered
2025-11-05,SWG101274,Butter Naan,Breads,1,60.00,6.00,2.70,40.00,96.70,54.00,Cash,Delivered
2025-11-05,SWG101275,Fried Rice,Rice & Noodles,1,170.00,25.50,7.23,0.00,151.73,144.50,Credit Card,Delivered
2025-11-05,SWG101276,Fried Rice,Rice & Noodles,2,340.00,51.00,14.45,20.00,323.45,289.00,Cash,Delivered
2025-11-05,SWG101277,Gulab Jamun,Desserts,1,90.00,9.00,4.05,30.00,115.05,81.00,Credit Card,Delivered
2025-11-06,SWG101278,Hakka Noodles,Rice & Noodles,1,180.00,0.00,9.00,40.00,229.00,180.00,Debit Card,Delivered
2025-11-06,SWG101279,Paneer Tikka,Starters,1,230.00,34.50,9.78,40.00,245.28,195.50,Cash,Delivered
2025-11-06,SWG101280,Chicken Tikka,Starters,1,260.00,0.00,13.00,20.00,293.00,260.00,Debit Card,Delivered
2025-11-06,SWG101281,Paneer Butter Masala,Main Course,1,240.00,0.00,12.00,30.00,282.00,240.00,UPI,Delivered
2025-11-06,SWG101282,Masala Dosa,South Indian,2,280.00,0.00,14.00,0.00,294.00,280.00,UPI,Delivered
2025-11-06,SWG101283,Hakka Noodles,Rice & Noodles,1,180.00,9.00,8.55,30.00,209.55,171.00,Debit Card,Delivered
2025-11-06,SWG101284,Veg Biryani,Biryani,1,180.00,9.00,8.55,30.00,209.55,171.00,Debit Card,Delivered
2025-11-06,SWG101285,Masala Dosa,South Indian,2,280.00,42.00,11.90,40.00,289.90,238.00,UPI,Delivered
2025-11-06,SWG101286,Fried Rice,Rice & Noodles,1,170.00,8.50,8.08,40.00,209.58,161.50,Credit Card,Delivered
2025-11-06,SWG101287,Fried Rice,Rice & Noodles,1,170.00,25.50,7.23,40.00,191.73,144.50,UPI,Delivered
2025-11-06,SWG101288,Chicken Tikka,Starters,2,520.00,78.00,22.10,40.00,504.10,442.00,Cash,Delivered
2025-11-06,SWG101289,Hakka Noodles,Rice & Noodles,1,180.00,9.00,8.55,20.00,199.55,171.00,UPI,Delivered
2025-11-06,SWG101290,Fried Rice,Rice & Noodles,2,340.00,34.00,15.30,30.00,351.30,306.00,Cash,Delivered
2025-11-06,SWG101291,Paneer Tikka,Starters,2,460.00,46.00,20.70,30.00,464.70,414.00,UPI,Delivered
2025-11-06,SWG101292,Butter Naan,Breads,1,60.00,6.00,2.70,40.00,96.70,0.00,Credit Card,Cancelled
2025-11-06,SWG101293,Paneer Tikka,Starters,1,230.00,34.50,9.78,20.00,225.28,195.50,Debit Card,Delivered
2025-11-06,SWG101294,Gulab Jamun,Desserts,3,270.00,27.00,12.15,0.00,255.15,243.00,Credit Card,Delivered
2025-11-06,SWG101295,Chicken Biryani,Biryani,2,440.00,66.00,18.70,0.00,392.70,374.00,UPI,Delivered
2025-11-07,SWG101296,Paneer Tikka,Starters,1,230.00,11.50,10.93,30.00,259.43,218.50,UPI,Delivered
2025-11-07,SWG101297,Fried Rice,Rice & Noodles,1,170.00,0.00,8.50,20.00,198.50,170.00,Cash,Delivered
2025-11-07,SWG101298,Paneer Tikka,Starters,1,230.00,0.00,11.50,20.00,261.50,230.00,Cash,Delivered
2025-11-07,SWG101299,Paneer Butter Masala,Main Course,1,240.00,12.00,11.40,20.00,259.40,228.00,Debit Card,Delivered
2025-11-07,SWG101300,Paneer Tikka,Starters,2,460.00,69.00,19.55,20.00,430.55,391.00,Debit Card,Delivered
2025-11-07,SWG101301,Gulab Jamun,Desserts,1,90.00,13.50,3.83,30.00,110.33,76.50,Credit Card,Delivered
2025-11-07,SWG101302,Fried Rice,Rice & Noodles,1,170.00,25.50,7.23,20.00,171.73,144.50,Cash,Delivered
2025-11-07,SWG101303,Fried Rice,Rice & Noodles,1,170.00,0.00,8.50,0.00,178.50,170.00,Cash,Delivered
2025-11-07,SWG101304,Chicken Tikka,Starters,1,260.00,26.00,11.70,40.00,285.70,234.00,Credit Card,Delivered
2025-11-07,SWG101305,Paneer Tikka,Starters,1,230.00,34.50,9.78,40.00,245.28,195.50,Credit Card,Delivered
2025-11-07,SWG101306,Gulab Jamun,Desserts,1,90.00,0.00,4.50,20.00,114.50,90.00,Credit Card,Delivered
2025-11-07,SWG101307,Masala Dosa,South Indian,2,280.00,28.00,12.60,0.00,264.60,252.00,Credit Card,Delivered
2025-11-07,SWG101308,Fried Rice,Rice & Noodles,1,170.00,0.00,8.50,30.00,208.50,170.00,UPI,Delivered
2025-11-07,SWG101309,Hakka Noodles,Rice & Noodles,2,360.00,36.00,16.20,40.00,380.20,324.00,Debit Card,Delivered
2025-11-07,SWG101310,Veg Biryani,Biryani,1,180.00,27.00,7.65,0.00,160.65,153.00,Cash,Delivered
2025-11-07,SWG101311,Paneer Tikka,Starters,1,230.00,34.50,9.78,20.00,225.28,195.50,UPI,Delivered
2025-11-07,SWG101312,Masala Dosa,South Indian,1,140.00,7.00,6.65,30.00,169.65,133.00,Cash,Delivered
2025-11-07,SWG101313,Fried Rice,Rice & Noodles,1,170.00,0.00,8.50,20.00,198.50,170.00,Cash,Delivered
2025-11-07,SWG101314,Butter Naan,Breads,1,60.00,6.00,2.70,20.00,76.70,54.00,UPI,Delivered
2025-11-08,SWG101315,Paneer Butter Masala,Main Course,1,240.00,36.00,10.20,20.00,234.20,204.00,UPI,Delivered
2025-11-08,SWG101316,Masala Dosa,South Indian,1,140.00,14.00,6.30,20.00,152.30,126.00,UPI,Delivered
2025-11-08,SWG101317,Hakka Noodles,Rice & Noodles,1,180.00,0.00,9.00,0.00,189.00,180.00,Debit Card,Delivered
2025-11-08,SWG101318,Fried Rice,Rice & Noodles,1,170.00,0.00,8.50,0.00,178.50,170.00,Credit Card,Delivered
2025-11-08,SWG101319,Veg Biryani,Biryani,1,180.00,9.00,8.55,20.00,199.55,171.00,Cash,Delivered
2025-11-08,SWG101320,Chicken Biryani,Biryani,3,660.00,66.00,29.70,20.00,643.70,594.00,UPI,Delivered
2025-11-08,SWG101321,Veg Biryani,Biryani,3,540.00,0.00,27.00,20.00,587.00,540.00,UPI,Delivered
2025-11-08,SWG101322,Paneer Tikka,Starters,1,230.00,23.00,10.35,30.00,247.35,207.00,Credit Card,Delivered
2025-11-08,SWG101323,Gulab Jamun,Desserts,1,90.00,13.50,3.83,40.00,120.33,76.50,Credit Card,Delivered
2025-11-08,SWG101324,Paneer Butter Masala,Main Course,1,240.00,12.00,11.40,0.00,239.40,228.00,Debit Card,Delivered
2025-11-08,SWG101325,Chicken Biryani,Biryani,1,220.00,33.00,9.35,20.00,216.35,187.00,Debit Card,Delivered
2025-11-08,SWG101326,Gulab Jamun,Desserts,1,90.00,0.00,4.50,20.00,114.50,90.00,Cash,Delivered
2025-11-08,SWG101327,Paneer Butter Masala,Main Course,1,240.00,12.00,11.40,30.00,269.40,228.00,Debit Card,Delivered
2025-11-08,SWG101328,Paneer Tikka,Starters,1,230.00,11.50,10.93,30.00,259.43,218.50,Debit Card,Delivered
2025-11-08,SWG101329,Fried Rice,Rice & Noodles,1,170.00,0.00,8.50,40.00,218.50,170.00,Credit Card,Delivered
2025-11-08,SWG101330,Hakka Noodles,Rice & Noodles,1,180.00,0.00,9.00,20.00,209.00,180.00,UPI,Delivered
2025-11-08,SWG101331,Masala Dosa,South Indian,1,140.00,21.00,5.95,20.00,144.95,119.00,UPI,Delivered
2025-11-08,SWG101332,Butter Naan,Breads,1,60.00,6.00,2.70,20.00,76.70,54.00,Credit Card,Delivered
2025-11-08,SWG101333,Chicken Biryani,Biryani,1,220.00,33.00,9.35,30.00,226.35,187.00,Debit Card,Delivered
2025-11-08,SWG101334,Chicken Biryani,Biryani,1,220.00,33.00,9.35,30.00,226.35,187.00,Credit Card,Delivered
2025-11-09,SWG101335,Chicken Tikka,Starters,1,260.00,13.00,12.35,0.00,259.35,247.00,Credit Card,Delivered
2025-11-09,SWG101336,Veg Biryani,Biryani,1,180.00,27.00,7.65,30.00,190.65,153.00,UPI,Delivered
2025-11-09,SWG101337,Paneer Butter Masala,Main Course,2,480.00,0.00,24.00,20.00,524.00,480.00,Credit Card,Delivered
2025-11-09,SWG101338,Veg Biryani,Biryani,1,180.00,9.00,8.55,20.00,199.55,171.00,UPI,Delivered
2025-11-09,SWG101339,Paneer Tikka,Starters,1,230.00,23.00,10.35,20.00,237.35,207.00,Credit Card,Delivered
2025-11-09,SWG101340,Paneer Tikka,Starters,1,230.00,11.50,10.93,30.00,259.43,218.50,Cash,Delivered
2025-11-09,SWG101341,Veg Biryani,Biryani,1,180.00,27.00,7.65,0.00,160.65,153.00,Debit Card,Delivered
2025-11-09,SWG101342,Paneer Tikka,Starters,1,230.00,34.50,9.78,40.00,245.28,195.50,Cash,Delivered
2025-11-09,SWG101343,Butter Naan,Breads,2,120.00,18.00,5.10,0.00,107.10,102.00,Cash,Delivered
2025-11-09,SWG101344,Paneer Butter Masala,Main Course,2,480.00,48.00,21.60,20.00,473.60,432.00,Credit Card,Delivered
2025-11-09,SWG101345,Masala Dosa,South Indian,1,140.00,14.00,6.30,40.00,172.30,126.00,Cash,Delivered
2025-11-09,SWG101346,Paneer Butter Masala,Main Course,1,240.00,36.00,10.20,20.00,234.20,204.00,Credit Card,Delivered
2025-11-09,SWG101347,Chicken Biryani,Biryani,1,220.00,22.00,9.90,40.00,247.90,198.00,Cash,Delivered
2025-11-09,SWG101348,Paneer Tikka,Starters,3,690.00,69.00,31.05,40.00,692.05,621.00,UPI,Delivered
2025-11-09,SWG101349,Paneer Tikka,Starters,2,460.00,0.00,23.00,40.00,523.00,460.00,Credit Card,Delivered
2025-11-09,SWG101350,Veg Biryani,Biryani,2,360.00,36.00,16.20,30.00,370.20,324.00,Cash,Delivered
2025-11-09,SWG101351,Chicken Tikka,Starters,1,260.00,39.00,11.05,40.00,272.05,221.00,Credit Card,Delivered
2025-11-09,SWG101352,Fried Rice,Rice & Noodles,1,170.00,17.00,7.65,0.00,160.65,153.00,Credit Card,Delivered
2025-11-09,SWG101353,Masala Dosa,South Indian,1,140.00,7.00,6.65,30.00,169.65,133.00,Credit Card,Delivered
2025-11-09,SWG101354,Chicken Biryani,Biryani,1,220.00,0.00,11.00,40.00,271.00,220.00,UPI,Delivered
2025-11-10,SWG101355,Paneer Tikka,Starters,1,230.00,34.50,9.78,30.00,235.28,195.50,Cash,Delivered
2025-11-10,SWG101356,Gulab Jamun,Desserts,1,90.00,13.50,3.83,0.00,80.33,76.50,Debit Card,Delivered
2025-11-10,SWG101357,Butter Naan,Breads,1,60.00,3.00,2.85,40.00,99.85,57.00,UPI,Delivered
2025-11-10,SWG101358,Butter Naan,Breads,2,120.00,0.00,6.00,0.00,126.00,120.00,Cash,Delivered
2025-11-10,SWG101359,Hakka Noodles,Rice & Noodles,1,180.00,18.00,8.10,40.00,210.10,162.00,Debit Card,Delivered
2025-11-10,SWG101360,Butter Naan,Breads,1,60.00,3.00,2.85,40.00,99.85,57.00,UPI,Delivered
2025-11-10,SWG101361,Fried Rice,Rice & Noodles,1,170.00,8.50,8.08,20.00,189.58,161.50,Credit Card,Delivered
2025-11-10,SWG101362,Veg Biryani,Biryani,1,180.00,27.00,7.65,40.00,200.65,153.00,UPI,Delivered
2025-11-10,SWG101363,Butter Naan,Breads,1,60.00,0.00,3.00,40.00,103.00,60.00,UPI,Delivered
2025-11-10,SWG101364,Chicken Tikka,Starters,1,260.00,13.00,12.35,40.00,299.35,247.00,UPI,Delivered
2025-11-10,SWG101365,Chicken Biryani,Biryani,1,220.00,0.00,11.00,0.00,231.00,220.00,UPI,Delivered
2025-11-10,SWG101366,Paneer Tikka,Starters,1,230.00,23.00,10.35,40.00,257.35,207.00,Debit Card,Delivered
2025-11-10,SWG101367,Gulab Jamun,Desserts,1,90.00,9.00,4.05,30.00,115.05,0.00,Credit Card,Cancelled
2025-11-10,SWG101368,Chicken Tikka,Starters,1,260.00,39.00,11.05,0.00,232.05,0.00,Debit Card,Cancelled
2025-11-10,SWG101369,Paneer Butter Masala,Main Course,1,240.00,36.00,10.20,20.00,234.20,204.00,UPI,Delivered
2025-11-11,SWG101370,Hakka Noodles,Rice & Noodles,1,180.00,9.00,8.55,30.00,209.55,171.00,Cash,Delivered
2025-11-11,SWG101371,Hakka Noodles,Rice & Noodles,1,180.00,9.00,8.55,0.00,179.55,0.00,Debit Card,Cancelled
2025-11-11,SWG101372,Chicken Biryani,Biryani,1,220.00,0.00,11.00,30.00,261.00,220.00,Credit Card,Delivered
2025-11-11,SWG101373,Gulab Jamun,Desserts,1,90.00,0.00,4.50,30.00,124.50,90.00,Cash,Delivered
2025-11-11,SWG101374,Paneer Butter Masala,Main Course,1,240.00,24.00,10.80,20.00,246.80,216.00,UPI,Delivered
2025-11-11,SWG101375,Butter Naan,Breads,1,60.00,0.00,3.00,30.00,93.00,60.00,Cash,Delivered
2025-11-11,SWG101376,Butter Naan,Breads,2,120.00,0.00,6.00,40.00,166.00,120.00,Credit Card,Delivered
2025-11-11,SWG101377,Veg Biryani,Biryani,1,180.00,0.00,9.00,0.00,189.00,180.00,UPI,Delivered
2025-11-11,SWG101378,Butter Naan,Breads,2,120.00,12.00,5.40,40.00,153.40,108.00,Credit Card,Delivered
2025-11-11,SWG101379,Masala Dosa,South Indian,1,140.00,0.00,7.00,20.00,167.00,140.00,Cash,Delivered
2025-11-11,SWG101380,Paneer Butter Masala,Main Course,2,480.00,48.00,21.60,20.00,473.60,432.00,UPI,Delivered
2025-11-11,SWG101381,Chicken Tikka,Starters,1,260.00,39.00,11.05,40.00,272.05,221.00,Credit Card,Delivered
2025-11-11,SWG101382,Masala Dosa,South Indian,1,140.00,0.00,7.00,0.00,147.00,140.00,Credit Card,Delivered
2025-11-11,SWG101383,Paneer Butter Masala,Main Course,1,240.00,12.00,11.40,30.00,269.40,228.00,UPI,Delivered
2025-11-11,SWG101384,Masala Dosa,South Indian,1,140.00,7.00,6.65,40.00,179.65,0.00,Debit Card,Cancelled
2025-11-11,SWG101385,Chicken Tikka,Starters,2,520.00,26.00,24.70,20.00,538.70,494.00,UPI,Delivered
2025-11-11,SWG101386,Hakka Noodles,Rice & Noodles,2,360.00,36.00,16.20,20.00,360.20,324.00,Debit Card,Delivered
2025-11-12,SWG101387,Fried Rice,Rice & Noodles,1,170.00,17.00,7.65,20.00,180.65,153.00,UPI,Delivered
2025-11-12,SWG101388,Gulab Jamun,Desserts,1,90.00,0.00,4.50,30.00,124.50,0.00,Cash,Cancelled
2025-11-12,SWG101389,Veg Biryani,Biryani,1,180.00,27.00,7.65,0.00,160.65,0.00,Debit Card,Cancelled
2025-11-12,SWG101390,Butter Naan,Breads,2,120.00,6.00,5.70,20.00,139.70,114.00,UPI,Delivered
2025-11-12,SWG101391,Butter Naan,Breads,2,120.00,18.00,5.10,30.00,137.10,0.00,Credit Card,Cancelled
2025-11-12,SWG101392,Chicken Biryani,Biryani,1,220.00,22.00,9.90,40.00,247.90,198.00,Debit Card,Delivered
2025-11-12,SWG101393,Paneer Tikka,Starters,1,230.00,23.00,10.35,30.00,247.35,207.00,Credit Card,Delivered
2025-11-12,SWG101394,Hakka Noodles,Rice & Noodles,1,180.00,9.00,8.55,30.00,209.55,171.00,UPI,Delivered
2025-11-12,SWG101395,Masala Dosa,South Indian,1,140.00,7.00,6.65,20.00,159.65,133.00,Cash,Delivered
2025-11-12,SWG101396,Masala Dosa,South Indian,2,280.00,14.00,13.30,20.00,299.30,266.00,Credit Card,Delivered
2025-11-12,SWG101397,Chicken Biryani,Biryani,1,220.00,0.00,11.00,20.00,251.00,220.00,Cash,Delivered
2025-11-12,SWG101398,Butter Naan,Breads,2,120.00,0.00,6.00,30.00,156.00,0.00,Credit Card,Cancelled
2025-11-12,SWG101399,Chicken Biryani,Biryani,1,220.00,22.00,9.90,40.00,247.90,198.00,Cash,Delivered
2025-11-12,SWG101400,Veg Biryani,Biryani,1,180.00,9.00,8.55,40.00,219.55,171.00,Credit Card,Delivered
2025-11-12,SWG101401,Paneer Tikka,Starters,2,460.00,0.00,23.00,40.00,523.00,460.00,Cash,Delivered
2025-11-12,SWG101402,Masala Dosa,South Indian,1,140.00,21.00,5.95,30.00,154.95,119.00,UPI,Delivered
2025-11-12,SWG101403,Paneer Butter Masala,Main Course,1,240.00,12.00,11.40,0.00,239.40,228.00,Cash,Delivered
2025-11-12,SWG101404,Masala Dosa,South Indian,1,140.00,0.00,7.00,20.00,167.00,140.00,Cash,Delivered
2025-11-12,SWG101405,Masala Dosa,South Indian,1,140.00,0.00,7.00,30.00,177.00,140.00,Credit Card,Delivered
2025-11-12,SWG101406,Paneer Tikka,Starters,2,460.00,0.00,23.00,40.00,523.00,460.00,Cash,Delivered
2025-11-13,SWG101407,Paneer Butter Masala,Main Course,1,240.00,0.00,12.00,20.00,272.00,240.00,UPI,Delivered
2025-11-13,SWG101408,Butter Naan,Breads,2,120.00,6.00,5.70,0.00,119.70,114.00,Debit Card,Delivered
2025-11-13,SWG101409,Paneer Butter Masala,Main Course,1,240.00,12.00,11.40,20.00,259.40,228.00,Debit Card,Delivered
2025-11-13,SWG101410,Chicken Biryani,Biryani,1,220.00,0.00,11.00,30.00,261.00,220.00,Credit Card,Delivered
2025-11-13,SWG101411,Paneer Tikka,Starters,3,690.00,0.00,34.50,20.00,744.50,690.00,Debit Card,Delivered
2025-11-13,SWG101412,Hakka Noodles,Rice & Noodles,1,180.00,27.00,7.65,30.00,190.65,153.00,Debit Card,Delivered
2025-11-13,SWG101413,Gulab Jamun,Desserts,1,90.00,4.50,4.28,0.00,89.78,85.50,UPI,Delivered
2025-11-13,SWG101414,Veg Biryani,Biryani,1,180.00,9.00,8.55,30.00,209.55,171.00,Credit Card,Delivered
2025-11-13,SWG101415,Butter Naan,Breads,1,60.00,3.00,2.85,30.00,89.85,57.00,Cash,Delivered
2025-11-13,SWG101416,Paneer Butter Masala,Main Course,1,240.00,24.00,10.80,40.00,266.80,216.00,Credit Card,Delivered
2025-11-13,SWG101417,Paneer Tikka,Starters,1,230.00,23.00,10.35,40.00,257.35,207.00,Credit Card,Delivered
2025-11-13,SWG101418,Hakka Noodles,Rice & Noodles,1,180.00,18.00,8.10,20.00,190.10,162.00,Credit Card,Delivered
2025-11-13,SWG101419,Paneer Tikka,Starters,2,460.00,46.00,20.70,40.00,474.70,414.00,Credit Card,Delivered
2025-11-14,SWG101420,Paneer Butter Masala,Main Course,1,240.00,36.00,10.20,0.00,214.20,204.00,UPI,Delivered
2025-11-14,SWG101421,Chicken Tikka,Starters,2,520.00,52.00,23.40,20.00,511.40,468.00,Credit Card,Delivered
2025-11-14,SWG101422,Masala Dosa,South Indian,1,140.00,21.00,5.95,20.00,144.95,119.00,UPI,Delivered
2025-11-14,SWG101423,Paneer Butter Masala,Main Course,1,240.00,24.00,10.80,40.00,266.80,216.00,Debit Card,Delivered
2025-11-14,SWG101424,Gulab Jamun,Desserts,2,180.00,18.00,8.10,0.00,170.10,162.00,Credit Card,Delivered
2025-11-14,SWG101425,Chicken Tikka,Starters,2,520.00,78.00,22.10,20.00,484.10,442.00,Cash,Delivered
2025-11-14,SWG101426,Fried Rice,Rice & Noodles,1,170.00,17.00,7.65,0.00,160.65,153.00,Credit Card,Delivered
2025-11-14,SWG101427,Butter Naan,Breads,1,60.00,6.00,2.70,0.00,56.70,54.00,Debit Card,Delivered
2025-11-14,SWG101428,Veg Biryani,Biryani,1,180.00,27.00,7.65,40.00,200.65,153.00,Debit Card,Delivered
2025-11-14,SWG101429,Fried Rice,Rice & Noodles,1,170.00,17.00,7.65,40.00,200.65,153.00,Credit Card,Delivered
2025-11-14,SWG101430,Masala Dosa,South Indian,1,140.00,0.00,7.00,30.00,177.00,140.00,Debit Card,Delivered
2025-11-14,SWG101431,Paneer Butter Masala,Main Course,1,240.00,0.00,12.00,20.00,272.00,240.00,Credit Card,Delivered
2025-11-14,SWG101432,Gulab Jamun,Desserts,1,90.00,9.00,4.05,40.00,125.05,81.00,UPI,Delivered
2025-11-14,SWG101433,Paneer Tikka,Starters,1,230.00,11.50,10.93,40.00,269.43,218.50,UPI,Delivered
2025-11-14,SWG101434,Paneer Tikka,Starters,1,230.00,11.50,10.93,0.00,229.43,218.50,Debit Card,Delivered
2025-11-14,SWG101435,Veg Biryani,Biryani,3,540.00,0.00,27.00,40.00,607.00,540.00,Credit Card,Delivered
2025-11-14,SWG101436,Butter Naan,Breads,1,60.00,3.00,2.85,30.00,89.85,57.00,Cash,Delivered
2025-11-14,SWG101437,Fried Rice,Rice & Noodles,1,170.00,17.00,7.65,0.00,160.65,153.00,Credit Card,Delivered
2025-11-14,SWG101438,Hakka Noodles,Rice & Noodles,2,360.00,0.00,18.00,30.00,408.00,360.00,Debit Card,Delivered
2025-11-14,SWG101439,Masala Dosa,South Indian,1,140.00,21.00,5.95,20.00,144.95,119.00,UPI,Delivered
2025-11-14,SWG101440,Fried Rice,Rice & Noodles,2,340.00,51.00,14.45,0.00,303.45,289.00,Cash,Delivered
2025-11-14,SWG101441,Chicken Tikka,Starters,1,260.00,0.00,13.00,0.00,273.00,260.00,Credit Card,Delivered
2025-11-14,SWG101442,Paneer Tikka,Starters,1,230.00,0.00,11.50,40.00,281.50,230.00,UPI,Delivered
2025-11-14,SWG101443,Hakka Noodles,Rice & Noodles,1,180.00,9.00,8.55,40.00,219.55,171.00,Cash,Delivered
2025-11-15,SWG101444,Chicken Biryani,Biryani,1,220.00,22.00,9.90,20.00,227.90,198.00,Debit Card,Delivered
2025-11-15,SWG101445,Masala Dosa,South Indian,1,140.00,7.00,6.65,30.00,169.65,133.00,Cash,Delivered
2025-11-15,SWG101446,Fried Rice,Rice & Noodles,1,170.00,17.00,7.65,40.00,200.65,153.00,Credit Card,Delivered
2025-11-15,SWG101447,Paneer Butter Masala,Main Course,1,240.00,0.00,12.00,20.00,272.00,240.00,Debit Card,Delivered
2025-11-15,SWG101448,Chicken Biryani,Biryani,1,220.00,11.00,10.45,40.00,259.45,209.00,Debit Card,Delivered
